proportion,mean,std,run1,run2,run3,run4,run5
0.1,0.836,0.012601587201618702,0.838,0.842,0.836,0.813,0.851
0.2,0.8946,0.0035552777669262386,0.894,0.9,0.89,0.892,0.897
0.30000000000000004,0.9001999999999999,0.0057061370470748475,0.908,0.899,0.899,0.904,0.891
0.4,0.9118,0.006046486583132395,0.916,0.903,0.917,0.906,0.917
0.5,0.913,0.004857983120596452,0.921,0.911,0.913,0.914,0.906
0.6,0.9216000000000001,0.003929376540877704,0.928,0.918,0.917,0.922,0.923
0.7000000000000001,0.9216,0.004223742416388579,0.925,0.917,0.924,0.916,0.926
0.8,0.9259999999999999,0.0014142135623730961,0.927,0.924,0.925,0.928,0.926
0.9,0.9256,0.0033823069050575557,0.93,0.927,0.924,0.92,0.927
1.0,0.9277999999999998,0.0007483314773547889,0.928,0.927,0.928,0.929,0.927
